"wetting potential","permeability","element marker","Points:0","Points:1","Points:2"
3.42647e+00,1.00000e+00,0.00000e+00,2.43000e-01,5.97200e-01,0.00000e+00
3.42482e+00,1.00000e+00,0.00000e+00,2.44000e-01,5.97600e-01,0.00000e+00
3.42412e+00,1.00000e+00,0.00000e+00,2.45000e-01,5.98000e-01,0.00000e+00
3.42342e+00,1.00000e+00,0.00000e+00,2.46000e-01,5.98400e-01,0.00000e+00
3.42271e+00,1.00000e+00,0.00000e+00,2.47000e-01,5.98800e-01,0.00000e+00
3.42201e+00,1.00000e+00,0.00000e+00,2.48000e-01,5.99200e-01,0.00000e+00
3.42126e+00,1.00000e+00,0.00000e+00,2.49000e-01,5.99600e-01,0.00000e+00
3.42041e+00,1.00000e+00,0.00000e+00,2.50000e-01,6.00000e-01,0.00000e+00
3.41859e+00,1.00000e+00,0.00000e+00,2.51000e-01,6.00400e-01,0.00000e+00
3.41782e+00,1.00000e+00,0.00000e+00,2.52000e-01,6.00800e-01,0.00000e+00
3.41710e+00,1.00000e+00,0.00000e+00,2.53000e-01,6.01200e-01,0.00000e+00
3.41639e+00,1.00000e+00,0.00000e+00,2.54000e-01,6.01600e-01,0.00000e+00
3.41568e+00,1.00000e+00,0.00000e+00,2.55000e-01,6.02000e-01,0.00000e+00
3.41496e+00,1.00000e+00,0.00000e+00,2.56000e-01,6.02400e-01,0.00000e+00
3.41323e+00,1.00000e+00,0.00000e+00,2.57000e-01,6.02800e-01,0.00000e+00
3.41250e+00,1.00000e+00,0.00000e+00,2.58000e-01,6.03200e-01,0.00000e+00
3.41178e+00,1.00000e+00,0.00000e+00,2.59000e-01,6.03600e-01,0.00000e+00
3.41106e+00,1.00000e+00,0.00000e+00,2.60000e-01,6.04000e-01,0.00000e+00
3.41034e+00,1.00000e+00,0.00000e+00,2.61000e-01,6.04400e-01,0.00000e+00
3.40962e+00,1.00000e+00,0.00000e+00,2.62000e-01,6.04800e-01,0.00000e+00
3.40713e+00,1.00000e+00,0.00000e+00,2.63000e-01,6.05200e-01,0.00000e+00
3.40641e+00,1.00000e+00,0.00000e+00,2.64000e-01,6.05600e-01,0.00000e+00
3.40568e+00,1.00000e+00,0.00000e+00,2.65000e-01,6.06000e-01,0.00000e+00
3.40495e+00,1.00000e+00,0.00000e+00,2.66000e-01,6.06400e-01,0.00000e+00
3.40423e+00,1.00000e+00,0.00000e+00,2.67000e-01,6.06800e-01,0.00000e+00
3.40350e+00,1.00000e+00,0.00000e+00,2.68000e-01,6.07200e-01,0.00000e+00
3.40278e+00,1.00000e+00,0.00000e+00,2.69000e-01,6.07600e-01,0.00000e+00
3.40099e+00,1.00000e+00,0.00000e+00,2.70000e-01,6.08000e-01,0.00000e+00
3.40026e+00,1.00000e+00,0.00000e+00,2.71000e-01,6.08400e-01,0.00000e+00
3.39952e+00,1.00000e+00,0.00000e+00,2.72000e-01,6.08800e-01,0.00000e+00
3.39880e+00,1.00000e+00,0.00000e+00,2.73000e-01,6.09200e-01,0.00000e+00
3.39807e+00,1.00000e+00,0.00000e+00,2.74000e-01,6.09600e-01,0.00000e+00
3.39734e+00,1.00000e+00,0.00000e+00,2.75000e-01,6.10000e-01,0.00000e+00
3.39554e+00,1.00000e+00,0.00000e+00,2.76000e-01,6.10400e-01,0.00000e+00
3.39482e+00,1.00000e+00,0.00000e+00,2.77000e-01,6.10800e-01,0.00000e+00
3.39337e+00,1.00000e+00,0.00000e+00,2.78000e-01,6.11200e-01,0.00000e+00
3.39264e+00,1.00000e+00,0.00000e+00,2.79000e-01,6.11600e-01,0.00000e+00
3.39191e+00,1.00000e+00,0.00000e+00,2.80000e-01,6.12000e-01,0.00000e+00
3.39117e+00,1.00000e+00,0.00000e+00,2.81000e-01,6.12400e-01,0.00000e+00
3.39044e+00,1.00000e+00,0.00000e+00,2.82000e-01,6.12800e-01,0.00000e+00
3.38863e+00,1.00000e+00,0.00000e+00,2.83000e-01,6.13200e-01,0.00000e+00
3.38791e+00,1.00000e+00,0.00000e+00,2.84000e-01,6.13600e-01,0.00000e+00
3.38719e+00,1.00000e+00,0.00000e+00,2.85000e-01,6.14000e-01,0.00000e+00
3.38648e+00,1.00000e+00,0.00000e+00,2.86000e-01,6.14400e-01,0.00000e+00
3.38577e+00,1.00000e+00,0.00000e+00,2.87000e-01,6.14800e-01,0.00000e+00
