"pressure","permeability","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
115.13,1,1,267.87,267.87,-200,0
115.13,1,1,268.59,268.59,-200,0
115.13,1,1,269.31,269.31,-200,0
115.13,1,1,270.03,270.03,-200,0
115.13,1,1,270.75,270.75,-200,0
115.06,1,1,271.47,271.47,-200,0
115.06,1,1,272.19,272.19,-200,0
115.06,1,1,272.91,272.91,-200,0
115.06,1,1,273.63,273.63,-200,0
114.99,1,1,274.35,274.35,-200,0
114.99,1,1,275.07,275.07,-200,0
114.99,1,1,275.79,275.79,-200,0
114.99,1,1,276.51,276.51,-200,0
114.99,1,1,277.23,277.23,-200,0
114.92,1,1,277.95,277.95,-200,0
114.92,1,1,278.67,278.67,-200,0
114.92,1,1,279.39,279.39,-200,0
114.92,1,1,280.11,280.11,-200,0
114.86,1,1,280.83,280.83,-200,0
114.86,1,1,281.55,281.55,-200,0
114.86,1,1,282.27,282.27,-200,0
114.86,1,1,282.99,282.99,-200,0
114.86,1,1,283.71,283.71,-200,0
114.79,1,1,284.43,284.43,-200,0
114.79,1,1,285.15,285.15,-200,0
114.79,1,1,285.87,285.87,-200,0
114.79,1,1,286.59,286.59,-200,0
114.72,1,1,287.31,287.31,-200,0
114.72,1,1,288.03,288.03,-200,0
114.72,1,1,288.75,288.75,-200,0
114.72,1,1,289.47,289.47,-200,0
114.72,1,1,290.19,290.19,-200,0
114.66,1,1,290.91,290.91,-200,0
114.66,1,1,291.63,291.63,-200,0
114.66,1,1,292.35,292.35,-200,0
114.66,1,1,293.07,293.07,-200,0
114.59,1,1,293.79,293.79,-200,0
114.59,1,1,294.51,294.51,-200,0
114.59,1,1,295.23,295.23,-200,0
114.59,1,1,295.95,295.95,-200,0
114.53,1,1,296.67,296.67,-200,0
114.53,1,1,297.39,297.39,-200,0
114.53,1,1,298.11,298.11,-200,0
114.53,1,1,298.83,298.83,-200,0
114.53,1,1,299.55,299.55,-200,0
114.46,1,1,300.27,300.27,-200,0
114.46,1,1,300.99,300.99,-200,0
114.46,1,1,301.71,301.71,-200,0
114.46,1,1,302.43,302.43,-200,0
114.4,1,1,303.15,303.15,-200,0
114.4,1,1,303.87,303.87,-200,0
114.4,1,1,304.59,304.59,-200,0
114.4,1,1,305.31,305.31,-200,0
114.34,1,1,306.03,306.03,-200,0
114.34,1,1,306.75,306.75,-200,0
114.34,1,1,307.47,307.47,-200,0
114.34,1,1,308.19,308.19,-200,0
114.28,1,1,308.91,308.91,-200,0
114.28,1,1,309.63,309.63,-200,0
114.28,1,1,310.35,310.35,-200,0
114.28,1,1,311.07,311.07,-200,0
114.28,1,1,311.79,311.79,-200,0
114.22,1,1,312.51,312.51,-200,0
114.22,1,1,313.23,313.23,-200,0
114.22,1,1,313.95,313.95,-200,0
114.22,1,1,314.67,314.67,-200,0
114.16,1,1,315.39,315.39,-200,0
114.16,1,1,316.11,316.11,-200,0
114.16,1,1,316.83,316.83,-200,0
114.16,1,1,317.55,317.55,-200,0
114.1,1,1,318.27,318.27,-200,0
114.1,1,1,318.99,318.99,-200,0
114.1,1,1,319.71,319.71,-200,0
114.1,1,1,320.43,320.43,-200,0
114.05,1,1,321.15,321.15,-200,0
114.05,1,1,321.87,321.87,-200,0
114.05,1,1,322.59,322.59,-200,0
114.05,1,1,323.31,323.31,-200,0
113.99,1,1,324.03,324.03,-200,0
113.99,1,1,324.75,324.75,-200,0
113.99,1,1,325.47,325.47,-200,0
113.99,1,1,326.19,326.19,-200,0
113.93,1,1,326.91,326.91,-200,0
113.93,1,1,327.63,327.63,-200,0
113.93,1,1,328.35,328.35,-200,0
113.93,1,1,329.07,329.07,-200,0
113.88,1,1,329.79,329.79,-200,0
113.88,1,1,330.51,330.51,-200,0
113.88,1,1,331.23,331.23,-200,0
113.88,1,1,331.95,331.95,-200,0
113.82,1,1,332.67,332.67,-200,0
113.82,1,1,333.39,333.39,-200,0
113.82,1,1,334.11,334.11,-200,0
113.82,1,1,334.83,334.83,-200,0
113.77,1,1,335.55,335.55,-200,0
113.77,1,1,336.27,336.27,-200,0
113.77,1,1,336.99,336.99,-200,0
113.77,1,1,337.71,337.71,-200,0
113.72,1,1,338.43,338.43,-200,0
113.72,1,1,339.15,339.15,-200,0
113.72,1,1,339.87,339.87,-200,0
113.71,1,1,340.59,340.59,-200,0
113.66,1,1,341.31,341.31,-200,0
113.66,1,1,342.03,342.03,-200,0
113.66,1,1,342.75,342.75,-200,0
113.66,1,1,343.47,343.47,-200,0
113.61,1,1,344.19,344.19,-200,0
113.61,1,1,344.91,344.91,-200,0
113.61,1,1,345.63,345.63,-200,0
113.61,1,1,346.35,346.35,-200,0
113.56,1,1,347.07,347.07,-200,0
113.56,1,1,347.79,347.79,-200,0
113.56,1,1,348.51,348.51,-200,0
113.56,1,1,349.23,349.23,-200,0
113.51,1,1,349.95,349.95,-200,0
113.51,1,1,350.68,350.68,-200,0
113.51,1,1,351.4,351.4,-200,0
113.46,1,1,352.12,352.12,-200,0
113.46,1,1,352.84,352.84,-200,0
113.46,1,1,353.56,353.56,-200,0
113.46,1,1,354.28,354.28,-200,0
113.41,1,1,355,355,-200,0
113.4,1,1,355.72,355.72,-200,0
113.4,1,1,356.44,356.44,-200,0
113.4,1,1,357.16,357.16,-200,0
113.36,1,1,357.88,357.88,-200,0
113.36,1,1,358.6,358.6,-200,0
113.36,1,1,359.32,359.32,-200,0
113.36,1,1,360.04,360.04,-200,0
113.31,1,1,360.76,360.76,-200,0
113.31,1,1,361.48,361.48,-200,0
113.31,1,1,362.2,362.2,-200,0
113.27,1,1,362.92,362.92,-200,0
113.27,1,1,363.64,363.64,-200,0
113.27,1,1,364.36,364.36,-200,0
113.27,1,1,365.08,365.08,-200,0
113.23,1,1,365.8,365.8,-200,0
113.23,1,1,366.52,366.52,-200,0
113.22,1,1,367.24,367.24,-200,0
113.18,1,1,367.96,367.96,-200,0
113.18,1,1,368.68,368.68,-200,0
113.18,1,1,369.4,369.4,-200,0
113.18,1,1,370.12,370.12,-200,0
113.14,1,1,370.84,370.84,-200,0
113.14,1,1,371.56,371.56,-200,0
113.14,1,1,372.28,372.28,-200,0
113.11,1,1,373,373,-200,0
113.11,1,1,373.72,373.72,-200,0
113.11,1,1,374.44,374.44,-200,0
