"wetting potential","permeability-X","permeability-Y","permeability-Offdiagonal","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.4205,1,1,0,1,0.083853,0.083853,0.7,0
1.4197,1,1,0,1,0.084103,0.084103,0.7,0
1.4197,1,1,0,1,0.084352,0.084352,0.7,0
1.4197,1,1,0,1,0.084602,0.084602,0.7,0
1.4197,1,1,0,1,0.084852,0.084852,0.7,0
1.4188,1,1,0,1,0.085101,0.085101,0.7,0
1.4188,1,1,0,1,0.085351,0.085351,0.7,0
1.4188,1,1,0,1,0.0856,0.0856,0.7,0
1.4188,1,1,0,1,0.08585,0.08585,0.7,0
1.418,1,1,0,1,0.086099,0.086099,0.7,0
1.418,1,1,0,1,0.086349,0.086349,0.7,0
1.418,1,1,0,1,0.086598,0.086598,0.7,0
1.418,1,1,0,1,0.086848,0.086848,0.7,0
1.4172,1,1,0,1,0.087098,0.087098,0.7,0
1.4172,1,1,0,1,0.087347,0.087347,0.7,0
1.4172,1,1,0,1,0.087597,0.087597,0.7,0
1.4172,1,1,0,1,0.087846,0.087846,0.7,0
1.4164,1,1,0,1,0.088096,0.088096,0.7,0
1.4164,1,1,0,1,0.088345,0.088345,0.7,0
1.4164,1,1,0,1,0.088595,0.088595,0.7,0
1.4164,1,1,0,1,0.088845,0.088845,0.7,0
1.4155,1,1,0,1,0.089094,0.089094,0.7,0
1.4155,1,1,0,1,0.089344,0.089344,0.7,0
1.4155,1,1,0,1,0.089593,0.089593,0.7,0
1.4155,1,1,0,1,0.089843,0.089843,0.7,0
1.4147,1,1,0,1,0.090092,0.090092,0.7,0
1.4147,1,1,0,1,0.090342,0.090342,0.7,0
1.4147,1,1,0,1,0.090591,0.090591,0.7,0
1.4147,1,1,0,1,0.090841,0.090841,0.7,0
1.4139,1,1,0,1,0.091091,0.091091,0.7,0
1.4139,1,1,0,1,0.09134,0.09134,0.7,0
1.4139,1,1,0,1,0.09159,0.09159,0.7,0
1.4139,1,1,0,1,0.091839,0.091839,0.7,0
1.4131,1,1,0,1,0.092089,0.092089,0.7,0
1.4131,1,1,0,1,0.092338,0.092338,0.7,0
1.4131,1,1,0,1,0.092588,0.092588,0.7,0
1.4131,1,1,0,1,0.092838,0.092838,0.7,0
1.4123,1,1,0,1,0.093087,0.093087,0.7,0
1.4123,1,1,0,1,0.093337,0.093337,0.7,0
1.4123,1,1,0,1,0.093586,0.093586,0.7,0
1.4123,1,1,0,1,0.093836,0.093836,0.7,0
1.4114,1,1,0,1,0.094085,0.094085,0.7,0
1.4114,1,1,0,1,0.094335,0.094335,0.7,0
1.4114,1,1,0,1,0.094584,0.094584,0.7,0
1.4114,1,1,0,1,0.094834,0.094834,0.7,0
1.4106,1,1,0,1,0.095084,0.095084,0.7,0
1.4106,1,1,0,1,0.095333,0.095333,0.7,0
1.4106,1,1,0,1,0.095583,0.095583,0.7,0
1.4106,1,1,0,1,0.095832,0.095832,0.7,0
1.4098,1,1,0,1,0.096082,0.096082,0.7,0
1.4098,1,1,0,1,0.096331,0.096331,0.7,0
1.4098,1,1,0,1,0.096581,0.096581,0.7,0
1.4098,1,1,0,1,0.096831,0.096831,0.7,0
1.409,1,1,0,1,0.09708,0.09708,0.7,0
1.409,1,1,0,1,0.09733,0.09733,0.7,0
1.409,1,1,0,1,0.097579,0.097579,0.7,0
1.409,1,1,0,1,0.097829,0.097829,0.7,0
1.4082,1,1,0,1,0.098078,0.098078,0.7,0
1.4082,1,1,0,1,0.098328,0.098328,0.7,0
1.4082,1,1,0,1,0.098577,0.098577,0.7,0
1.4082,1,1,0,1,0.098827,0.098827,0.7,0
1.4074,1,1,0,1,0.099077,0.099077,0.7,0
1.4074,1,1,0,1,0.099326,0.099326,0.7,0
1.4074,1,1,0,1,0.099576,0.099576,0.7,0
1.4074,1,1,0,1,0.099825,0.099825,0.7,0
1.4066,1,1,0,1,0.10007,0.10007,0.7,0
1.4066,1,1,0,1,0.10032,0.10032,0.7,0
1.4066,1,1,0,1,0.10057,0.10057,0.7,0
